Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
Abhishek Sharma,3,3,2,63,46*,63,33,190.9,0,0,0,3,5
(Delhi Daredevils),,,,,,,,,,,,,
AD Nath,1,1,0,9,9,9,13,69.23,0,0,0,1,0
(Kings XI Punjab),,,,,,,,,,,,,
MA Agarwal,11,11,1,120,30,12,94,127.65,0,0,1,9,5
(Kings XI Punjab),,,,,,,,,,,,,
KK Ahmed,1,-,-,-,-,-,-,-,-,-,-,-,-
(Sunrisers Hyderabad),,,,,,,,,,,,,
MM Ali,5,4,0,77,65,19.25,46,167.39,0,1,0,4,6
(Royal Challengers Bangalore),,,,,,,,,,,,,
CJ Anderson,3,3,0,17,15,5.66,22,77.27,0,0,1,0,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
Ankit Sharma,1,-,-,-,-,-,-,-,-,-,-,-,-
(Rajasthan Royals),,,,,,,,,,,,,
Anureet Singh,3,1,1,3,3*,-,4,75,0,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,
JC Archer,10,8,3,15,8,3,21,71.42,0,0,3,2,0
(Rajasthan Royals),,,,,,,,,,,,,
M Ashwin,2,1,0,1,1,1,2,50,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
R Ashwin,14,9,1,102,45,12.75,71,143.66,0,0,3,7,5
(Kings XI Punjab),,,,,,,,,,,,,
KM Asif,2,-,-,-,-,-,-,-,-,-,-,-,-
(Chennai Super Kings),,,,,,,,,,,,,
Avesh Khan,6,-,-,-,-,-,-,-,-,-,-,-,-
(Delhi Daredevils),,,,,,,,,,,,,
Basil Thampi,4,2,1,3,3,3,6,50,0,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
RK Bhui,1,1,0,0,0,0,5,0,0,0,1,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,
SW Billings,10,8,0,108,56,13.5,78,138.46,0,1,1,8,5
(Chennai Super Kings),,,,,,,,,,,,,
STR Binny,7,5,0,44,22,8.8,39,112.82,0,0,1,2,2
(Rajasthan Royals),,,,,,,,,,,,,
TA Boult,14,1,0,0,0,0,2,0,0,0,1,0,0
(Delhi Daredevils),,,,,,,,,,,,,
CR Brathwaite,4,4,1,75,43*,25,48,156.25,0,0,0,1,8
(Sunrisers Hyderabad),,,,,,,,,,,,,
DJ Bravo,16,10,6,141,68,35.25,91,154.94,0,1,1,8,10
(Chennai Super Kings),,,,,,,,,,,,,
JJ Bumrah,14,3,2,10,6*,10,11,90.9,0,0,1,1,0
(Mumbai Indians),,,,,,,,,,,,,
JC Buttler,13,13,3,548,95*,54.8,353,155.24,0,5,0,52,21
(Rajasthan Royals),,,,,,,,,,,,,
YS Chahal,14,1,1,0,0*,-,4,0,0,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
