Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
S Ladda,1,1,2,0,21,0,-,-,10.5,-,0,0,0,0
(Gujarat Lions),,,,,,,,,,,,,,
VR Aaron,8,8,23.4,0,227,2,2/37,113.5,9.59,71,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
KJ Abbott,5,5,16,0,177,2,1/38,88.5,11.06,48,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
AD Nath,4,-,-,-,-,-,-,-,-,-,-,-,0,0
(Gujarat Lions),,,,,,,,,,,,,,
MA Agarwal,3,-,-,-,-,-,-,-,-,-,-,-,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
HM Amla,6,-,-,-,-,-,-,-,-,-,-,-,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
Ankit Sharma,3,3,11,0,84,1,1/27,84,7.63,66,0,0,1,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
Anureet Singh,2,2,6,0,43,0,-,-,7.16,-,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,,
S Aravind,9,9,29.1,0,216,11,2/18,19.63,7.4,15.9,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
A Ashish Reddy,4,2,3.5,0,39,1,1/14,39,10.17,23,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
M Ashwin,10,10,28.3,0,241,7,3/36,34.42,8.45,24.4,0,0,0,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
R Ashwin,14,14,44,0,319,10,4/34,31.9,7.25,26.4,1,0,3,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
GJ Bailey,6,-,-,-,-,-,-,-,-,-,-,-,2,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
F Behardien,3,-,-,-,-,-,-,-,-,-,-,-,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
R Bhatia,10,10,34,1,244,6,2/19,40.66,7.17,34,0,0,2,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
SW Billings,5,-,-,-,-,-,-,-,-,-,-,-,3,0
(Delhi Daredevils),,,,,,,,,,,,,,
STR Binny,14,11,17,0,134,1,1/17,134,7.88,102,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Bipul Sharma,7,6,14,0,121,3,1/10,40.33,8.64,28,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SM Boland,2,2,7,0,54,2,2/31,27,7.71,21,0,0,0,0
(Rising Pune Supergiants),,,,,,,,,,,,,,
TA Boult,1,1,4,0,39,1,1/39,39,9.75,24,0,0,1,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
CR Brathwaite,8,8,23.1,0,189,7,3/47,27,8.15,19.8,0,0,3,0
(Delhi Daredevils),,,,,,,,,,,,,,
DJ Bravo,15,15,56,0,494,17,4/22,29.05,8.82,19.7,1,0,6,0
(Gujarat Lions),,,,,,,,,,,,,,
JJ Bumrah,14,14,52,0,406,15,3/13,27.06,7.8,20.8,0,0,1,0
(Mumbai Indians),,,,,,,,,,,,,,
JC Buttler,14,-,-,-,-,-,-,-,-,-,-,-,7,0
(Mumbai Indians),,,,,,,,,,,,,,
KC Cariappa,5,5,17,0,159,3,2/16,53,9.35,34,0,0,2,0
