Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s
AR Bawne,1,1,1,12,12*,-,12,100,0,0,0,1,0
(Delhi Daredevils),,,,,,,,,,,,,
VR Aaron,6,2,1,4,4,4,10,40,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,
AD Nath,1,1,0,0,0,0,1,0,0,0,1,0,0
(Gujarat Lions),,,,,,,,,,,,,
MA Agarwal,3,3,0,26,20,8.66,27,96.29,0,0,1,3,0
(Rising Pune Supergiant),,,,,,,,,,,,,
SS Agarwal,1,-,-,-,-,-,-,-,-,-,-,-,-
(Gujarat Lions),,,,,,,,,,,,,
HM Amla,10,10,3,420,104*,60,288,145.83,2,2,1,40,17
(Kings XI Punjab),,,,,,,,,,,,,
CJ Anderson,11,11,4,142,41*,20.28,123,115.44,0,0,1,8,9
(Delhi Daredevils),,,,,,,,,,,,,
Ankit Sharma,1,1,0,25,25,25,15,166.66,0,0,0,2,1
(Rising Pune Supergiant),,,,,,,,,,,,,
Ankit Soni,7,3,1,7,7*,3.5,9,77.77,0,0,2,0,1
(Gujarat Lions),,,,,,,,,,,,,
Anureet Singh,1,1,0,15,15,15,12,125,0,0,0,2,0
(Kings XI Punjab),,,,,,,,,,,,,
S Aravind,10,8,4,32,9,8,40,80,0,0,2,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
Avesh Khan,1,-,-,-,-,-,-,-,-,-,-,-,-
(Royal Challengers Bangalore),,,,,,,,,,,,,
S Badree,7,5,0,13,8,2.6,23,56.52,0,0,2,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
Basil Thampi,12,5,5,28,13*,-,28,100,0,0,0,1,1
(Gujarat Lions),,,,,,,,,,,,,
R Bhatia,3,2,1,16,16,16,17,94.11,0,0,0,0,1
(Rising Pune Supergiant),,,,,,,,,,,,,
SW Billings,6,6,0,138,55,23,104,132.69,0,1,1,19,1
(Delhi Daredevils),,,,,,,,,,,,,
STR Binny,8,7,2,78,18*,15.6,76,102.63,0,0,0,6,3
(Royal Challengers Bangalore),,,,,,,,,,,,,
Bipul Sharma,7,3,2,31,21*,31,24,129.16,0,0,0,2,1
(Sunrisers Hyderabad),,,,,,,,,,,,,
TA Boult,6,1,1,5,5*,-,8,62.5,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,
CR Brathwaite,2,2,0,12,11,6,15,80,0,0,0,2,0
(Delhi Daredevils),,,,,,,,,,,,,
DM Bravo,1,1,1,6,6*,-,5,120,0,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,
JJ Bumrah,16,2,1,16,16*,16,12,133.33,0,0,1,0,1
(Mumbai Indians),,,,,,,,,,,,,
JC Buttler,10,10,0,272,77,27.2,177,153.67,0,1,0,27,15
(Mumbai Indians),,,,,,,,,,,,,
KC Cariappa,4,2,0,2,1,1,7,28.57,0,0,0,0,0
(Kings XI Punjab),,,,,,,,,,,,,
YS Chahal,13,6,3,13,4*,4.33,26,50,0,0,1,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,
DL Chahar,3,1,0,14,14,14,6,233.33,0,0,0,0,2
(Rising Pune Supergiant),,,,,,,,,,,,,
RD Chahar,3,1,1,3,3*,-,2,150,0,0,0,0,0
(Rising Pune Supergiant),,,,,,,,,,,,,
PP Chawla,6,1,0,2,2,2,6,33.33,0,0,0,0,0
(Kolkata Knight Riders),,,,,,,,,,,,,
A Choudhary,5,3,2,25,15*,25,20,125,0,0,0,1,1
(Royal Challengers Bangalore),,,,,,,,,,,,,
DT Christian,13,9,4,79,17*,15.8,49,161.22,0,0,0,5,5
(Rising Pune Supergiant),,,,,,,,,,,,,
NM Coulter-Nile,8,3,0,14,6,4.66,12,116.66,0,0,0,0,2
(Kolkata Knight Riders),,,,,,,,,,,,,
PJ Cummins,12,9,4,77,24,15.4,53,145.28,0,0,0,5,4
(Delhi Daredevils),,,,,,,,,,,,,
BCJ Cutting,4,3,1,51,20,25.5,26,196.15,0,0,0,5,3
(Sunrisers Hyderabad),,,,,,,,,,,,,
C de Grandhomme,12,9,1,126,36,15.75,92,136.95,0,0,3,10,6
(Kolkata Knight Riders),,,,,,,,,,,,,
AB de Villiers,9,9,1,216,89*,27,163,132.51,0,1,0,12,16
(Royal Challengers Bangalore),,,,,,,,,,,,,
S Dhawan,14,14,1,479,77,36.84,376,127.39,0,3,0,53,9
(Sunrisers Hyderabad),,,,,,,,,,,,,
MS Dhoni,16,15,4,290,61*,26.36,250,116,0,1,0,15,16
(Rising Pune Supergiant),,,,,,,,,,,,,
AB Dinda,3,1,0,7,7,7,7,100,0,0,0,1,0
(Rising Pune Supergiant),,,,,,,,,,,,,
