Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Ct,St
Abhishek Sharma,3,-,-,-,-,-,-,-,-,-,-,-,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
AD Nath,1,-,-,-,-,-,-,-,-,-,-,-,1,0
(Kings XI Punjab),,,,,,,,,,,,,,
MA Agarwal,11,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
KK Ahmed,1,1,3,0,38,0,-,-,12.66,-,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MM Ali,5,5,13.1,0,97,3,1/13,32.33,7.36,26.3,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
CJ Anderson,3,3,8.4,0,115,3,2/47,38.33,13.26,17.3,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Ankit Sharma,1,1,1,0,11,0,-,-,11,-,0,0,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
Anureet Singh,3,3,4,0,42,1,1/20,42,10.5,24,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
JC Archer,10,10,38.5,0,325,15,3/22,21.66,8.36,15.5,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
M Ashwin,2,2,7,0,53,3,2/36,17.66,7.57,14,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
R Ashwin,14,14,50.4,0,410,10,2/18,41,8.09,30.4,0,0,5,0
(Kings XI Punjab),,,,,,,,,,,,,,
KM Asif,2,2,6,0,75,3,2/43,25,12.5,12,0,0,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
Avesh Khan,6,6,19,0,204,4,2/29,51,10.73,28.5,0,0,3,0
(Delhi Daredevils),,,,,,,,,,,,,,
Basil Thampi,4,4,10.1,0,114,5,2/4,22.8,11.21,12.2,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
RK Bhui,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SW Billings,10,-,-,-,-,-,-,-,-,-,-,-,5,0
(Chennai Super Kings),,,,,,,,,,,,,,
STR Binny,7,1,2,0,33,0,-,-,16.5,-,0,0,1,0
(Rajasthan Royals),,,,,,,,,,,,,,
TA Boult,14,14,52.4,1,466,18,2/20,25.88,8.84,17.5,0,0,9,0
(Delhi Daredevils),,,,,,,,,,,,,,
CR Brathwaite,4,4,10.1,0,94,5,2/15,18.8,9.24,12.2,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
DJ Bravo,16,16,53.3,1,533,14,2/16,38.07,9.96,22.9,0,0,9,0
(Chennai Super Kings),,,,,,,,,,,,,,
JJ Bumrah,14,14,54,0,372,17,3/15,21.88,6.88,19,0,0,4,0
(Mumbai Indians),,,,,,,,,,,,,,
JC Buttler,13,-,-,-,-,-,-,-,-,-,-,-,9,1
(Rajasthan Royals),,,,,,,,,,,,,,
YS Chahal,14,14,50,1,363,12,2/22,30.25,7.26,25,0,0,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
DL Chahar,12,12,38.1,1,278,10,3/15,27.8,7.28,22.9,0,0,1,0
(Chennai Super Kings),,,,,,,,,,,,,,
PP Chawla,15,15,49,0,412,14,3/48,29.42,8.4,21,0,0,4,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
P Chopra,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Rajasthan Royals),,,,,,,,,,,,,,
DT Christian,4,4,11.5,0,101,4,2/35,25.25,8.53,17.7,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
TK Curran,5,5,10.1,0,118,6,2/19,19.66,11.6,10.1,0,0,1,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
BCJ Cutting,9,7,17,0,168,2,1/12,84,9.88,51,0,0,7,0
(Mumbai Indians),,,,,,,,,,,,,,
CJ Dala,1,1,3,0,34,0,-,-,11.33,-,0,0,0,0
(Delhi Daredevils),,,,,,,,,,,,,,
A Dananjaya,1,1,4,0,47,0,-,-,11.75,-,0,0,0,0
(Mumbai Indians),,,,,,,,,,,,,,
C de Grandhomme,9,7,15,0,129,2,1/8,64.5,8.6,45,0,0,3,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
Q de Kock,8,-,-,-,-,-,-,-,-,-,-,-,7,3
(Royal Challengers Bangalore),,,,,,,,,,,,,,
AB de Villiers,12,-,-,-,-,-,-,-,-,-,-,-,6,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
S Dhawan,16,-,-,-,-,-,-,-,-,-,-,-,12,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
MS Dhoni,16,-,-,-,-,-,-,-,-,-,-,-,11,3
(Chennai Super Kings),,,,,,,,,,,,,,
JP Duminy,6,2,3,0,36,0,-,-,12,-,0,0,2,0
(Mumbai Indians),,,,,,,,,,,,,,
F du Plessis,6,-,-,-,-,-,-,-,-,-,-,-,1,0
(Chennai Super Kings),,,,,,,,,,,,,,
AJ Finch,10,-,-,-,-,-,-,-,-,-,-,-,4,0
(Kings XI Punjab),,,,,,,,,,,,,,
G Gambhir,6,-,-,-,-,-,-,-,-,-,-,-,1,0
(Delhi Daredevils),,,,,,,,,,,,,,
CH Gayle,11,-,-,-,-,-,-,-,-,-,-,-,2,0
(Kings XI Punjab),,,,,,,,,,,,,,
S Gopal,11,10,31,0,236,11,4/16,21.45,7.61,16.9,1,0,3,0
(Rajasthan Royals),,,,,,,,,,,,,,
SP Goswami,6,-,-,-,-,-,-,-,-,-,-,-,5,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
K Gowtham,15,15,40,0,312,11,2/12,28.36,7.8,21.8,0,0,10,0
(Rajasthan Royals),,,,,,,,,,,,,,
AD Hales,6,-,-,-,-,-,-,-,-,-,-,-,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Harbhajan Singh,13,12,31.5,0,270,7,2/22,38.57,8.48,27.2,0,0,4,0
(Chennai Super Kings),,,,,,,,,,,,,,
DJ Hooda,9,2,3,0,24,0,-,-,8,-,0,0,3,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
Imran Tahir,6,6,20.4,0,188,6,2/34,31.33,9.09,20.6,0,0,2,0
(Chennai Super Kings),,,,,,,,,,,,,,
Ishan Kishan,14,-,-,-,-,-,-,-,-,-,-,-,9,2
(Mumbai Indians),,,,,,,,,,,,,,
SS Iyer,14,-,-,-,-,-,-,-,-,-,-,-,5,0
(Delhi Daredevils),,,,,,,,,,,,,,
RA Jadeja,16,14,41,0,303,11,3/18,27.54,7.39,22.3,0,0,11,0
(Chennai Super Kings),,,,,,,,,,,,,,
KM Jadhav,1,-,-,-,-,-,-,-,-,-,-,-,0,0
(Chennai Super Kings),,,,,,,,,,,,,,
MG Johnson,6,6,21,0,216,2,1/30,108,10.28,63,0,0,2,0
(Kolkata Knight Riders),,,,,,,,,,,,,,
CJ Jordan,1,1,4,0,31,0,-,-,7.75,-,0,0,0,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
KD Karthik,16,-,-,-,-,-,-,-,-,-,-,-,14,4
(Kolkata Knight Riders),,,,,,,,,,,,,,
S Kaul,17,17,66,0,547,21,3/23,26.04,8.28,18.8,0,0,2,0
(Sunrisers Hyderabad),,,,,,,,,,,,,,
SN Khan,7,-,-,-,-,-,-,-,-,-,-,-,2,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
K Khejroliya,3,3,10.5,0,107,2,2/33,53.5,9.87,32.5,0,0,0,0
(Royal Challengers Bangalore),,,,,,,,,,,,,,
H Klaasen,4,-,-,-,-,-,-,-,-,-,-,-,3,4
(Rajasthan Royals),,,,,,,,,,,,,,
